title,url,loyalty,family,blood,nationality,species,house,gender,aliases
Vernon Dursley,https://harrypotter.fandom.com/wiki/Vernon_Dursley,"Dursley family,Grunnings","Mrs Dursley,Marjorie Dursley,Petunia Dursley,Dudley Dursley,Mrs Dursley,Grandchildren,Mr Evans,Mrs Evans,Lily Potter,James Potter,Harry Potter,Ginevra Potter",Muggle,English,Human,,Male,
Petunia Dursley,https://harrypotter.fandom.com/wiki/Petunia_Dursley,"Evans family,Dursley family","Mr Evans,Mrs Evans,Lily Potter,Vernon Dursley,Marjorie Dursley,Mrs Dursley,James Potter I,Dudley Dursley,Harry Potter,Mrs Dursley,Grandchildren,Ginevra Potter",Muggle,English,Human,,Female,[]
Dudley Dursley,https://harrypotter.fandom.com/wiki/Dudley_Dursley,"Dursley family,Evans family,Smeltings Academy,His gang","Vernon Dursley,Petunia Dursley,Mrs Dursley,Children,Mrs Dursley,Marjorie Dursley,Mr Evans,Mrs Evans,Lily Potter,James Potter,Harry Potter,Ginny Potter,James Sirius Potter,Albus Severus Potter,Lily Luna Potter",Muggle,English,Human,,Male,"['Dudders', 'Ickle Dudleykins', 'Popkin', 'Diddy', 'Diddykins', 'My Neffy Poo', ""Big 'D'"", 'Dud', 'Dinky Diddydums']"
Lily J. Potter,https://harrypotter.fandom.com/wiki/Lily_J._Potter,"Evans family,Potter family,Hogwarts School of Witchcraft and Wizardry
Gryffindor
Slug Club,Gryffindor,Slug Club,Order of the Phoenix","Mr Evans,Mrs Evans,Petunia Dursley,James Potter,Harry Potter,Ginevra Potter,James Potter II,Albus Potter,Lily L. Potter,Vernon Dursley,Dudley Dursley,Mrs Dursley,Dursley children,Fleamont Potter,Euphemia Potter,Potter family",Muggle-born,English,Human,Gryffindor,Female,
James Potter I,https://harrypotter.fandom.com/wiki/James_Potter_I,"Potter family,Evans family,Hogwarts School of Witchcraft and Wizardry
Marauders,Marauders,Gryffindor,Gryffindor Quidditch team,Order of the Phoenix","Ignotus Peverell,Linfred of Stinchcombe,Hardwin Potter,Iolanthe Potter,Henry Potter,Fleamont Potter,Euphemia Potter,Tom Riddle,Lily Potter,Harry Potter,Ginevra Potter,James Potter II,Albus Potter,Lily Potter,Mr Evans,Mrs Evans,Petunia Dursley,Vernon Dursley,Dudley Dursley,Mrs Dursley,Fleamont family,House of Black,House of Gaunt,Evans family",Pure-blood,English,Human,Gryffindor,Male,[]
Harry Potter,https://harrypotter.fandom.com/wiki/Harry_Potter,"Potter family,Weasley family,Albus Dumbledore,Dumbledore's Army,Order of the Phoenix,Hogwarts School of Witchcraft and Wizardry
Gryffindor
Gryffindor Quidditch team
Slug Club,Gryffindor,Gryffindor Quidditch team,Slug Club,Potions Club,British Ministry of Magic
Auror Office
Department of Magical Law Enforcement,Auror Office,Department of Magical Law Enforcement,S.P.E.W.","Ignotus Peverell,Linfred of Stinchcombe,Fleamont Potter,Euphemia Potter,Mr Evans,Mrs Evans,James Potter I,Lily Potter,Petunia Dursley,Vernon Dursley,Dudley Dursley,Mrs Dursley,Dudley's children,Tom Riddle,Ginevra Potter,James Potter II,Albus Potter,Lily Potter,Arthur Weasley,Molly Weasley,William Weasley,Fleur Weasley,Charles Weasley,Percy Weasley,Audrey Weasley,Fred Weasley,George Weasley,Angelina Weasley,Ronald Weasley,Hermione Granger,Victoire Weasley,Dominique Weasley,Louis Weasley,Molly Weasley,Lucy Weasley,Fred Weasley II,Roxanne Weasley,Rose Granger-Weasley,Hugo Granger-Weasley,Potter family,Weasley family,Fleamont family,House of Black",Half-blood,English,Human,Gryffindor,Male,"['The Boy Who Lived', 'The Chosen One', 'Undesirable No. 1', 'Lightning', 'The Boy Who Lied', 'Potty']"
Violet-cloaked wizard,https://harrypotter.fandom.com/wiki/Violet-cloaked_wizard,,,,,Human,,Male,
Tom Riddle,https://harrypotter.fandom.com/wiki/Tom_Riddle,"Death Eaters,Hogwarts School of Witchcraft and Wizardry,Slytherin,Slug Club,British Ministry of Magic,Borgin and Burkes","Tom Riddle Snr,Merope Riddle,Delphini,Thomas Riddle,Mary Riddle,Marvolo Gaunt,Morfin Gaunt,Corvinus Gaunt,Gormlaith Gaunt,Salazar Slytherin,Cadmus Peverell,Harry Potter",Half-blood,English,Human,Slytherin,Male,"['Lord Voldemort', 'You-Know-Who', 'He-Who-Must-Not-Be-Named', 'The Dark Lord', 'Chief Death Eater', 'Heir of Slytherin', 'You-Know-Oops', 'He Who Must Not Be Taken Seriously']"
Jim McGuffin,https://harrypotter.fandom.com/wiki/Jim_McGuffin,,,Muggle,,Human,,Male,
Ted,https://harrypotter.fandom.com/wiki/Ted,,,Muggle,British,Human,,Male,
